TIME,VALUE
05/18/2012,0.039
05/19/2012,0.044
05/20/2012,0.033
05/21/2012,0.019
05/22/2012,0.047
05/23/2012,0.03
05/25/2012,0.028
05/26/2012,0.043
05/27/2012,0.035
05/28/2012,0.026
05/29/2012,0.044
05/30/2012,0.024
05/31/2012,0.014
06/01/2012,0.014
06/02/2012,0.022
06/03/2012,0.021
06/04/2012,0.028
06/05/2012,0.026
06/06/2012,0.033
06/07/2012,0.029
06/08/2012,0.027
06/09/2012,0.022
06/10/2012,0.021
06/11/2012,0.036
06/12/2012,0.051
06/13/2012,0.022
06/14/2012,0.013
06/15/2012,0.017
06/16/2012,0.019
06/17/2012,0.038
06/18/2012,0.047
06/19/2012,0.019
06/20/2012,0.022
06/21/2012,0.015
06/22/2012,0.019
06/23/2012,0.012
06/24/2012,0.01
06/25/2012,0.017
06/26/2012,0.009
06/28/2012,0.015
06/29/2012,0.007
06/30/2012,0.007
07/01/2012,0.012
07/03/2012,0.017
07/04/2012,0.007
07/05/2012,0.005
07/06/2012,0.004
07/07/2012,0.005
07/08/2012,0.005
07/09/2012,0.003
07/10/2012,0.004
07/11/2012,0.017
07/12/2012,0.004
07/13/2012,0.014
07/14/2012,0.009
07/15/2012,0.01
07/16/2012,0.015
07/17/2012,0.007
07/18/2012,0.004
07/20/2012,0.014
07/21/2012,0.009
07/22/2012,0.005
07/23/2012,0.006
07/24/2012,0.006
07/25/2012,0.003
07/27/2012,0.003
07/28/2012,0.028
07/29/2012,0.011
07/30/2012,0.005
07/31/2012,0.009
08/01/2012,0.01
08/03/2012,0.016
08/04/2012,0.02
08/05/2012,0.02
08/06/2012,0.017
08/07/2012,0.009
08/08/2012,0.014
08/09/2012,0.021
08/10/2012,0.017
08/11/2012,0.02
08/12/2012,0.012
08/13/2012,0.009
08/14/2012,0.017
08/15/2012,0.013
08/16/2012,0.013
08/17/2012,0.012
08/18/2012,0.016
08/19/2012,0.016
08/20/2012,0.015
08/21/2012,0.017
08/22/2012,0.024
08/23/2012,0.022
08/24/2012,0.03
08/25/2012,0.02
08/26/2012,0.015
08/27/2012,0.012
08/28/2012,0.015
08/29/2012,0.017
08/30/2012,0.016
08/31/2012,0.018
09/01/2012,0.026
09/02/2012,0.026
09/03/2012,0.012
09/04/2012,0.021
09/05/2012,0.023
09/06/2012,0.009
09/07/2012,0.019
09/08/2012,0.016
09/09/2012,0.017
09/10/2012,0.024
09/11/2012,0.026
09/12/2012,0.02
09/13/2012,0.015
09/14/2012,0.02
09/15/2012,0.03
09/16/2012,0.04
09/17/2012,0.042
09/18/2012,0.026
09/19/2012,0.035
09/20/2012,0.026
09/21/2012,0.017
09/22/2012,0.024
09/23/2012,0.031
09/26/2012,0.009
09/27/2012,0.027
09/28/2012,0.011
09/29/2012,0.01
09/30/2012,0.033
10/01/2012,0.033
10/02/2012,0.059
10/03/2012,0.07
10/04/2012,0.022
10/05/2012,0.017
10/06/2012,0.036
10/07/2012,0.039
10/08/2012,0.069
10/09/2012,0.049
10/10/2012,0.009
10/11/2012,0.047
10/12/2012,0.06
10/13/2012,0.042
10/14/2012,0.04
10/15/2012,0.05
10/16/2012,0.021
10/17/2012,0.012
10/18/2012,0.043
10/19/2012,0.041
10/20/2012,0.057
10/21/2012,0.025
10/22/2012,0.01
10/23/2012,0.026
10/24/2012,0.053
10/25/2012,0.049
10/26/2012,0.022
10/27/2012,0.011
10/28/2012,0.025
10/29/2012,0.016
10/30/2012,0.066
10/31/2012,0.024
11/01/2012,0.046
11/02/2012,0.037
11/03/2012,0.031
11/04/2012,0.013
11/05/2012,0.011
11/06/2012,0.017
11/07/2012,0.035
11/08/2012,0.04
11/09/2012,0.026
11/10/2012,0.026
11/11/2012,0.018
11/12/2012,0.011
11/13/2012,0.021
11/14/2012,0.012
11/15/2012,0.03
11/16/2012,0.038
11/17/2012,0.05
11/18/2012,0.063
11/19/2012,0.075
11/20/2012,0.06
11/21/2012,0.063
11/22/2012,0.069
11/23/2012,0.021
11/24/2012,0.05
11/25/2012,0.077
11/26/2012,0.016
11/27/2012,0.048
11/28/2012,0.055
11/29/2012,0.075
11/30/2012,0.052
12/01/2012,0.033
12/02/2012,0.011
12/03/2012,0.028
12/04/2012,0.012
12/05/2012,0.037
12/06/2012,0.024
12/07/2012,0.067
12/08/2012,0.024
12/09/2012,
12/10/2012,0.01
12/11/2012,0.03
12/12/2012,0.04
12/13/2012,0.025
12/14/2012,0.073
12/15/2012,
12/16/2012,0.011
12/17/2012,
12/18/2012,0.019
12/19/2012,0.041
12/20/2012,0.071
12/21/2012,0.114
12/22/2012,0.033
12/23/2012,0.01
12/24/2012,0.048
12/25/2012,0.06
12/27/2012,0.042
12/28/2012,0.111
12/29/2012,0.02
12/30/2012,
12/31/2012,0.009
01/01/2013,0.089
01/02/2013,0.014
01/03/2013,0.022
01/04/2013,0.214
01/05/2013,0.124
01/06/2013,0.121
01/07/2013,0.182
01/08/2013,0.064
01/09/2013,0.044
01/10/2013,0.154
01/11/2013,0.124
01/12/2013,0.16
01/13/2013,0.088
01/14/2013,0.09
01/15/2013,0.059
01/16/2013,0.044
01/17/2013,0.076
01/18/2013,0.16
01/19/2013,0.06
01/20/2013,0.075
01/21/2013,0.139
01/22/2013,0.119
01/23/2013,0.165
01/24/2013,0.068
01/25/2013,0.031
01/26/2013,0.053
01/27/2013,0.114
01/28/2013,0.256
01/29/2013,0.163
01/30/2013,0.107
01/31/2013,0.056
